usage_id,user_email,dataset_uuid,project_name,project_category,usage_date
35,sharonwri@protonmail.com,c974eecc-c79a-4631-acda-3f1d9f5f44b6,Disaster Resilience Planning,machine learning,2023-05-23
36,jroberts@hotmail.com,3aa35ff4-b6e9-4145-a6d9-dc0f58c8da86,Environmental Compliance,analytics,2020-03-25
37,stevennel@edu.com,beb9cf5b-ef2f-46f2-86ac-850891f9ad5e,Population Growth Forecast,analytics,2021-06-25
38,mlewis@outlook.com,aa5eadb5-6564-4e53-87a8-0c71f5f93a5c,Climate Impact Analysis,field research,2023-01-23
39,susan.thompson@edu.com,13d1fcbf-4ded-445f-997a-b76d1701656e,Renewable Energy Mapping,machine learning,2021-06-11
40,kimberly_520@yahoo.com,9c2bca5d-328a-48ba-aedd-9bff175dec20,Housing Affordability,field research,2020-04-01
41,adavis@edu.com,885d2743-40b2-41cf-a805-a97e84d495e0,Housing Affordability,analytics,2021-01-29
42,ashley_445@gmail.com,f9a3f5e1-eb81-4025-a646-fb1940f40203,Fraud Detection System,machine learning,2023-01-09
43,ashley.hill@protonmail.com,5775e9f7-6025-4345-ac4b-2c3df6e93df9,COVID-19 Impact Study,machine learning,2024-02-16
44,carolsan@university.edu,db176386-7461-48cd-b399-7671456cddb3,Healthcare Access Study,analytics,2021-01-09
45,kenneth.adams@edu.com,1ea4886d-f13e-42b2-b9f1-ddd95b737d68,Public Health Dashboard,field research,2022-10-29
46,donald_139@gmail.com,8cbb2bcd-dc65-4f1a-b377-56d161f6573c,Budget Optimization,field research,2022-05-15
47,jessica_59@gmail.com,f05a2631-a9e5-4ee4-8e07-541532b767da,Budget Optimization,machine learning,2020-04-24
48,margaret_250@edu.com,c5d301e4-4da5-4cb6-ae47-f592cecdb91e,Biodiversity Survey,field research,2024-12-15
49,donaldmar1@university.edu,2c921531-532e-4f52-bd6e-5cca94709ec3,Biodiversity Survey,field research,2021-09-13
50,jennifer_894@outlook.com,554d9735-62ee-43a6-a82b-54cc708bee15,Climate Impact Analysis,field research,2022-10-18
51,michelle.mitchell@protonmail.com,b9863546-08bb-4ab2-b300-5e9277b6f4d7,Climate Impact Analysis,field research,2021-03-09
52,jroberts@hotmail.com,7d996498-4b3b-4ac9-8163-8dd4467ec2e1,Energy Efficiency Audit,field research,2024-05-08
53,donald_901@protonmail.com,f89b7ba5-928b-4158-918a-8c2ba7df2a30,Customer Behavior Model,analytics,2022-06-17
54,rebeccamil@protonmail.com,9ce133f7-f65d-484e-93b7-49fe3fd6edf6,Budget Optimization,field research,2024-11-30
55,linda_756@icloud.com,00220f06-bbe1-4945-b5a1-ba319e9d25a0,Transportation Network Analysis,analytics,2021-08-11
56,anthony_923@gmail.com,b20e7a98-8bbc-4b87-a3de-35361028739a,Poverty Alleviation Program,machine learning,2022-09-23
57,david_513@icloud.com,2ab76fcb-ece0-4fcc-88bf-375bd17bb8c0,Biodiversity Survey,analytics,2021-04-26
58,kevin.williams@edu.com,3b206dd0-0b00-48d4-87ef-2ba85a5b4dee,Water Quality Monitoring,analytics,2024-01-03
59,christopher.thomas@university.edu,dbd6f154-03e1-407a-8496-f99e98a55f17,Digital Divide Analysis,analytics,2020-09-01
60,charles_185@outlook.com,b399a46d-18f5-4ae9-8cce-602ffe7247e9,Agricultural Yield Prediction,machine learning,2020-10-08
61,adavis@edu.com,82ce7076-179b-403f-8abd-7d3ae3f65682,Disaster Resilience Planning,field research,2021-07-18
62,timothy.roberts@icloud.com,9a1a4d85-cf71-4dfc-a8c3-728dff86780b,Crime Pattern Analysis,analytics,2024-09-06
63,lramirez@university.edu,5e78ff4a-d4f3-4042-ba4b-60756d69b7e1,Housing Affordability,analytics,2022-07-09
64,dorothyriv@university.edu,33d0b258-34a9-4b4c-8c94-174553e4e81b,Poverty Alleviation Program,analytics,2021-12-21
65,stephanie_259@university.edu,06c009c8-a6e7-4575-9942-a60cdd7509f9,Disaster Resilience Planning,machine learning,2022-04-16
66,kevinall@gmail.com,f18a216b-e215-44ad-af84-aacf6510a4d5,Urban Mobility Study,field research,2021-09-24
67,kking@yahoo.com,25fe8453-3fea-4241-ba7c-9ba09fac3792,Customer Behavior Model,machine learning,2022-12-02
68,jnelson@university.edu,c115b5e9-480e-4661-907c-30606f37e7a6,Customer Behavior Model,machine learning,2021-06-02
69,kking@yahoo.com,4006accd-6281-49d4-b012-b15e3ae1ed4b,Economic Forecasting Model,machine learning,2022-06-24
70,susan_383@yahoo.com,d40aa760-06d6-411e-a45a-4c71348ae786,Budget Optimization,machine learning,2020-10-11
71,ronald_72@icloud.com,7d60dd64-4778-4951-a149-cae7b724476b,Disaster Resilience Planning,field research,2022-09-21
72,sgonzalez@university.edu,74a5da5a-c643-4b79-b521-04ab9624101a,Agricultural Yield Prediction,machine learning,2021-12-03
73,kevin.williams@edu.com,8a8fcc7b-8bbe-4939-a626-619edd530e29,Agricultural Yield Prediction,machine learning,2023-09-21
74,sharon_699@hotmail.com,93446be4-fa46-404d-b778-33285a906b20,Voter Turnout Study,machine learning,2023-02-25
75,dorothy_273@edu.com,16dc5c73-fb3d-44df-b118-36a7c39aede6,Water Quality Monitoring,analytics,2023-06-03
76,sandra_333@edu.com,9d5c1f36-1ca4-499a-aade-e40acaf209e3,Disaster Resilience Planning,analytics,2022-08-06
77,lisa.king@gmail.com,db176386-7461-48cd-b399-7671456cddb3,COVID-19 Impact Study,machine learning,2022-08-25
78,aroberts@protonmail.com,958cf4df-6c37-49dd-992b-6d05cba79f5d,Urban Mobility Study,machine learning,2023-09-26
79,donna_264@gmail.com,464fc6fb-8265-42ab-b50c-c662f3d2b19f,Agricultural Yield Prediction,machine learning,2020-08-01
80,jmoore@protonmail.com,ed95fbf4-cdb5-41f7-ab14-ba63f4587123,Energy Efficiency Audit,machine learning,2024-01-08
81,kmartin@protonmail.com,0fcae0b6-f2c0-4252-ade8-c804afbcfde6,Budget Optimization,field research,2023-01-05
82,linda_756@icloud.com,2c3e8e18-3c05-487f-aca6-c4d894bd9449,Crime Pattern Analysis,field research,2020-10-03
83,richard.roberts@gmail.com,52736be6-f95f-44e9-9ccb-0b108497e408,Housing Affordability,field research,2024-03-17
84,davidlew@icloud.com,60b2f1b2-74ea-42cc-a423-beb42a878777,Healthcare Access Study,analytics,2020-11-13
85,jcarter@gmail.com,dd5ce2d9-6a05-4bd9-a290-f9df14b6c63a,Fraud Detection System,machine learning,2022-05-16
86,stephanie_259@university.edu,d8d9ccfb-4918-498d-b2cd-e36c75e2f6ec,Renewable Energy Mapping,machine learning,2021-01-17
87,george.torres@protonmail.com,f7b9766a-f34f-437c-bc30-4ec2e237b295,Fraud Detection System,machine learning,2020-06-26
88,jessica.taylor@yahoo.com,442cb09a-61c1-41d9-a08e-d49968e57a10,Labor Market Trends,machine learning,2022-02-02
89,emily.rivera@gmail.com,43e0a52e-bb69-4192-be3f-07e549e7e825,Biodiversity Survey,field research,2020-04-16
90,mlewis@outlook.com,be6ee17c-edf6-410f-a7b2-40fdbf003889,Infrastructure Assessment,analytics,2022-10-01
91,stephanie_259@university.edu,789ec171-1f6a-442b-8275-aaf48285a67c,Public Health Dashboard,field research,2021-09-17
92,timothy.davis@icloud.com,9a687f47-87e1-4cf9-b060-3e502333f906,Energy Efficiency Audit,machine learning,2020-10-25
93,lhernandez@gmail.com,34081c6f-b910-474f-90dc-a6ceaf839c0b,Biodiversity Survey,machine learning,2020-01-09
94,margaret_564@hotmail.com,1415e8c1-06eb-44de-80f3-87212c21eaf9,Urban Mobility Study,analytics,2024-02-03
95,christopher.thomas@university.edu,a5afd6db-cf4a-4d45-aa3b-4db615ef2c69,Digital Divide Analysis,machine learning,2022-04-24
96,thomas.flores@icloud.com,18c48761-5286-488a-859b-07df675a3cfe,Healthcare Access Study,field research,2024-08-22
97,jamesflo@university.edu,c5635682-5173-4fe5-a1f3-864ad3c68711,Poverty Alleviation Program,machine learning,2020-06-03
98,patricia.rodriguez@yahoo.com,d542e985-4b61-4ad4-a911-99e060ff8541,Poverty Alleviation Program,analytics,2023-03-06
99,joseph.garcia@edu.com,2b6e21c7-01e2-4df8-bd41-9972efcaaa6a,Urban Mobility Study,field research,2020-08-05
100,sharon.mitchell@icloud.com,71de089d-9ee5-4438-a93c-40e7e1d30dda,Labor Market Trends,field research,2023-04-29
101,kenneth_806@edu.com,410455ef-0cfb-4e27-997d-d56a501ae2e9,Agricultural Yield Prediction,machine learning,2024-01-15
102,barbara.thompson@university.edu,858346df-3cbe-4453-81f5-cab85aaf5efd,Urban Mobility Study,analytics,2022-08-29
103,dsmith@outlook.com,a0195880-298a-4831-9a43-73c2c59e18f9,Voter Turnout Study,machine learning,2020-09-23
104,patriciaflo@icloud.com,1d8b791b-7adb-49ae-a51c-8f969f901fd8,Supply Chain Optimization,machine learning,2024-01-29
105,sharon_699@hotmail.com,4451f4f3-551e-425a-979c-ea977b4f4421,Social Mobility Research,field research,2023-11-15
106,kenneth.walker@protonmail.com,891ce6d7-5c51-40ed-8185-533bc97986cb,Digital Divide Analysis,analytics,2023-08-17
107,steven.scott@protonmail.com,62e52c00-f7cb-4fe8-8a26-25596d88fe37,Digital Divide Analysis,field research,2020-09-24
108,sandra.nguyen@university.edu,830e10d6-b90e-49ea-9992-197f8fffd281,Air Quality Index Tracker,field research,2023-03-14
109,edward.green@outlook.com,531cf3f6-4fd0-46f3-b380-2fa2aec3d727,Fraud Detection System,machine learning,2023-11-06
110,rgreen@university.edu,27eb151c-c2eb-4102-a421-a44ba9c3ecd1,Transportation Network Analysis,analytics,2020-11-19
111,rebeccamil@protonmail.com,2068cc2f-68d2-4925-81e8-85bca6a9b6c7,Healthcare Access Study,machine learning,2024-08-08
112,brian.anderson@university.edu,f3a3940c-d869-454b-8870-d6ebe09b33f0,Healthcare Access Study,field research,2024-12-20
113,rebeccamil@protonmail.com,c3e7760b-a716-49b8-a22e-eac1877c6529,Renewable Energy Mapping,machine learning,2020-05-01
114,michael.mitchell@outlook.com,3a4a09a6-93fc-4315-a579-5f7c54d3524d,Air Quality Index Tracker,field research,2022-04-07
115,anthony.williams@outlook.com,30092878-0e8b-472b-804a-c55e1bd3cb7b,Public Health Dashboard,analytics,2024-07-24
116,gwilliams@university.edu,f0a24a36-8157-4078-8573-e32bcde2ebad,Environmental Compliance,field research,2021-06-01
117,bgarcia@yahoo.com,d84eca10-a23c-4e96-8c53-cc3ea95f5151,Education Gap Research,machine learning,2020-03-09
118,dthomas@university.edu,52a44d15-0fa8-4e5f-a904-df269e2d4f9c,Voter Turnout Study,analytics,2020-10-29
119,margaretlew@yahoo.com,b589ad0e-473c-4212-bfbc-ffb3b79383d8,Customer Behavior Model,machine learning,2021-05-17
120,kennethriv@university.edu,4cc6b852-97f0-4733-aeee-7f2186f11e1b,Food Security Assessment,field research,2021-09-19
121,richardram@edu.com,4c58431a-1c99-4e3b-a143-19bbf1203617,Budget Optimization,machine learning,2020-10-14
122,sharon.mitchell@icloud.com,7509028b-52a1-4217-ad9b-715d63567e73,Air Quality Index Tracker,machine learning,2020-05-04
123,margaret_250@edu.com,cd6436fa-6ca7-4cc6-91bc-414d79f60fcf,Environmental Compliance,machine learning,2022-10-19
124,david.adams@protonmail.com,3db016d1-1c9c-4ab3-ab58-2befe032a18b,Supply Chain Optimization,machine learning,2020-06-11
125,anthony_923@gmail.com,67c976ee-7553-4dff-83cc-acc44f3eddd2,Climate Impact Analysis,analytics,2022-11-07
126,thomas.williams@yahoo.com,cf61a823-ec67-4fbe-b4ba-6aaefdd46ce0,Food Security Assessment,machine learning,2021-01-28
127,david.taylor@yahoo.com,ff284128-2236-47aa-9727-4b3c0b9cb6fa,Fraud Detection System,field research,2023-01-05
128,timothy.roberts@icloud.com,a7662bc4-50d3-4a3b-97b8-661ce7b1cea5,Agricultural Yield Prediction,machine learning,2023-05-12
129,bperez@yahoo.com,44ebaf6e-c788-4930-b405-ea970a96d91b,Housing Affordability,machine learning,2021-10-10
130,george.torres@protonmail.com,49c92fd4-824f-494a-99a0-1729f4a6ef47,Renewable Energy Mapping,analytics,2020-05-01
131,richard_177@protonmail.com,01d3899b-319e-4772-bdd0-2753a652547c,Public Health Dashboard,field research,2021-12-06
132,kenneth_806@edu.com,47906f0e-2b1e-4760-ad05-ba8615fba413,Poverty Alleviation Program,field research,2024-02-19
133,cwilliams@edu.com,e031c4e6-311f-4e52-a275-f033dc605422,Crime Pattern Analysis,analytics,2024-07-08
134,kenneth.adams@edu.com,0359fc4a-40a9-4a49-8408-09ddfc43d0bb,Customer Behavior Model,machine learning,2024-02-01
135,kmartin@protonmail.com,465ebcd8-0e12-4cbc-98a2-dd38a0f60a11,Customer Behavior Model,field research,2021-05-19
136,michael.mitchell@outlook.com,f9058908-8321-4bb8-bfb1-3ba2754c3736,Education Gap Research,field research,2022-10-10
137,margaretlew@yahoo.com,4a21f5fe-452f-460d-b4f8-2a2e58ddfd41,Voter Turnout Study,machine learning,2023-08-10
138,brian.anderson@university.edu,a1215b65-fcb8-4c9d-8dfe-cda2b01ca6b2,Crime Pattern Analysis,analytics,2024-05-07
139,david.taylor@yahoo.com,f1e9acff-e63d-4b05-a6d0-f744b0ff2991,Education Gap Research,field research,2023-12-09
140,kennethriv@university.edu,4e412151-0cda-43b9-a3df-ee1dea795f1a,Air Quality Index Tracker,machine learning,2022-12-11
141,marylew@edu.com,f6f39aa0-3f76-45ef-bc4f-2fd9675d6215,Customer Behavior Model,machine learning,2023-11-20
142,mark.harris@edu.com,b892af56-2dad-4a4b-b303-ba507526731d,Infrastructure Assessment,field research,2020-04-20
143,dscott@icloud.com,e011a5a7-fb40-44da-883c-e575075b1256,Fraud Detection System,machine learning,2022-07-19
144,joshua_831@protonmail.com,11c8fa06-8e5f-4cf3-a2c3-3609ee9899ba,Biodiversity Survey,field research,2024-04-14
145,dthompson@outlook.com,8c087002-5cbf-4094-bd4d-c96b14a260eb,Voter Turnout Study,field research,2022-09-11
146,deborahhil@gmail.com,8a180db8-aa95-4ed8-8cf9-73ae92c3c63a,Supply Chain Optimization,field research,2024-07-07
147,sgonzalez@university.edu,955ec7ce-c1f9-4e1a-b454-49e5b92d3cff,Air Quality Index Tracker,machine learning,2020-07-29
148,george.torres@protonmail.com,f46e043d-d36a-44c2-a823-5581bfbe564c,Climate Impact Analysis,machine learning,2022-07-11
149,michael.mitchell@outlook.com,2a62d53b-cd93-4393-a9ab-f1e0bbb0e957,Poverty Alleviation Program,field research,2024-11-17
150,christopher.thomas@university.edu,22b550e4-5dd7-4ccc-b0fd-97a0ac5f6408,Urban Mobility Study,field research,2023-03-18
151,jroberts@hotmail.com,b46df30d-dd47-4e3a-8645-812e6954a3cd,Infrastructure Assessment,machine learning,2020-12-21
152,aroberts@protonmail.com,7e59ae5c-6e83-4775-9a36-f12c6f2cf1d7,Energy Efficiency Audit,field research,2023-03-13
153,barbara.thompson@university.edu,c38e5885-f84b-423a-86b2-d46e6cfddd90,Healthcare Access Study,field research,2021-06-15
154,joshua_831@protonmail.com,b6eab5ed-a9c1-4c25-9657-323bf3c85b39,Education Gap Research,field research,2020-09-16
155,dorothy_273@edu.com,1fbcd1e3-dee1-4208-b751-e3693cb1703e,Population Growth Forecast,machine learning,2023-05-22
156,michael_965@hotmail.com,095ff93c-58d8-4ce5-967f-46a292ce7518,Social Mobility Research,analytics,2024-11-09
157,kmartin1@protonmail.com,2cefe35f-a8f7-440c-b15c-e94c33ae449e,Infrastructure Assessment,field research,2023-04-27
158,daniel.anderson@icloud.com,8c38da32-d0ca-43f4-b620-d7a66ff0b26d,Agricultural Yield Prediction,field research,2022-01-14
159,michael_965@hotmail.com,1ac9fc65-ab9b-4429-8d88-0fecc1aef197,Food Security Assessment,field research,2020-06-30
160,donaldmar@edu.com,ead23c7d-e98a-4392-b0c5-bf0d79a1e207,Supply Chain Optimization,field research,2024-03-02
161,richard_177@protonmail.com,a6ef5f5d-2055-417b-bc8b-0a1a03082f51,Voter Turnout Study,field research,2021-12-19
162,ashley.hill@protonmail.com,6d44a038-c061-4c05-8102-90fee0fb50d6,Economic Forecasting Model,field research,2020-10-28
163,timothy.davis@icloud.com,30358b1d-e2de-4da1-9d44-50836de59864,Infrastructure Assessment,analytics,2021-06-27
164,jnelson@university.edu,15dbc33d-dbb5-4363-bd33-9b665ad20a79,COVID-19 Impact Study,machine learning,2023-11-17
165,donna_264@gmail.com,25410dd0-522c-49ce-a1bd-cb3e8e13c6d0,Social Mobility Research,analytics,2022-04-28
166,stephanie_259@university.edu,1ea4886d-f13e-42b2-b9f1-ddd95b737d68,Public Health Dashboard,field research,2021-05-05
167,donaldsco@protonmail.com,e205dbdc-bb48-49a5-911f-1cb4897002f3,Disaster Resilience Planning,field research,2021-08-21
168,sarah_416@edu.com,54016903-5212-4dd7-a07c-d819db6690f4,Customer Behavior Model,machine learning,2023-01-10
169,jessica_59@gmail.com,726442bd-accd-4e2a-82bf-d4de73f18f00,Biodiversity Survey,machine learning,2024-10-20
170,sadams@hotmail.com,290ab8c2-9daa-4b22-bbd5-ba72d8492aae,Climate Impact Analysis,field research,2022-08-25
171,betty_996@yahoo.com,f1657524-19a3-440d-a987-bb7ff5466f28,Renewable Energy Mapping,analytics,2020-11-15
172,laura.taylor@edu.com,3b123a2e-3898-4be2-bfd6-94af5367d6ae,Public Health Dashboard,field research,2020-07-25
173,daniel.anderson@icloud.com,974649c9-10fa-4203-8803-333b84c98888,Healthcare Access Study,machine learning,2023-07-29
174,deborahhil@gmail.com,a78e136c-50f3-4ed6-9257-e5a851071b15,Air Quality Index Tracker,field research,2020-06-10
175,margaret_250@edu.com,e26e5433-8371-468d-a9de-9ebc6693571d,Voter Turnout Study,machine learning,2023-02-07
176,edward.green@outlook.com,6f5ce2d5-240a-46c6-8c09-69fc31fe3c42,Environmental Compliance,machine learning,2023-07-25
177,robert.nelson@yahoo.com,123f6899-4240-4b99-bff9-82805434120b,Transportation Network Analysis,analytics,2022-01-27
178,mark_220@outlook.com,585099fa-9b5b-48f8-b9be-dce6404beb1a,Climate Impact Analysis,field research,2022-01-29
179,margaret_564@hotmail.com,51b3f23c-9c0f-44a8-8d72-1a62575a0dfb,Climate Impact Analysis,field research,2022-04-03
180,joshua_831@protonmail.com,194722b6-ba28-483c-b92b-2a3e00f73c4f,Air Quality Index Tracker,analytics,2021-01-14
181,jroberts@hotmail.com,480b8e9f-d845-43da-a012-95e7dbc4f071,Energy Efficiency Audit,machine learning,2024-01-01
182,rebecca.scott@edu.com,bba161d0-525a-4ab0-ac83-dade256bdc37,Social Mobility Research,analytics,2020-09-23
183,marylew@edu.com,d7093818-c99a-41c3-a8fa-eeefe4132f03,Water Quality Monitoring,analytics,2020-01-07
184,kmartin1@protonmail.com,fb5316ef-365e-4e10-8b59-da027c26038a,Disaster Resilience Planning,field research,2020-04-17
185,ashley_445@gmail.com,f41211f3-4fbe-4676-b0ee-d0960b502d8a,Transportation Network Analysis,analytics,2022-09-12
186,plee@edu.com,15caf49e-4fcd-4c3d-9fbf-001ee5eb8f29,Poverty Alleviation Program,field research,2024-10-02
187,mark.harris@edu.com,1b3d534a-fa26-4571-92d3-a5b82f7af742,Water Quality Monitoring,field research,2022-11-25
188,emily.rivera@gmail.com,e126fdab-a7f6-4493-b6a6-e228a7bc6fa3,Air Quality Index Tracker,machine learning,2020-11-29
189,donald.wilson@protonmail.com,fb39915c-1c10-40ef-9182-1f38ef238831,Biodiversity Survey,analytics,2023-06-24
190,brian.robinson@gmail.com,e504b4df-addf-4424-a979-4f261c1343e0,Budget Optimization,analytics,2022-03-07
191,george.torres@protonmail.com,7dc9326b-4c96-4b8f-8076-d2feeda6f762,Economic Forecasting Model,field research,2021-09-07
192,donaldmar@edu.com,1819e927-e9af-4b8c-9498-8f1cc53078e7,Voter Turnout Study,analytics,2024-11-09
193,panderson@edu.com,8b41a2cf-fe49-4fe9-bc72-e658ce6652ee,Food Security Assessment,field research,2023-10-11
194,dorothyriv@university.edu,9f100830-55a2-404f-9f4b-55f5629a1edd,Customer Behavior Model,machine learning,2022-07-15
195,david.taylor@yahoo.com,ba1ed95d-4d07-4664-91e5-3586579d475f,Food Security Assessment,analytics,2022-12-15
196,cwilliams@edu.com,41dc39f1-f868-4680-b30b-bf1d88b95f00,Poverty Alleviation Program,analytics,2024-02-29
197,donnadav@gmail.com,fdd02907-a3f4-44d2-ba3b-a73e4398340c,Economic Forecasting Model,machine learning,2024-07-03
198,patricia.walker@gmail.com,c03284cb-6601-4f4d-a85c-1229fdcfc63c,Agricultural Yield Prediction,field research,2024-01-21
199,donaldmar1@university.edu,d19c64bb-a01c-409f-bb42-fe3c1c9ce6de,Energy Efficiency Audit,machine learning,2021-08-04
200,susan_383@yahoo.com,51f87702-9f8a-4c09-9f42-a65c1bfbcb4b,Poverty Alleviation Program,field research,2024-08-29
201,brian_158@protonmail.com,97019251-4dd1-46c5-b33b-8abf1af349bb,Economic Forecasting Model,machine learning,2023-08-09
202,donald_860@yahoo.com,522a7f7a-c069-4e46-822c-5eb81b123dab,Crime Pattern Analysis,analytics,2021-02-23
203,daniel.anderson@icloud.com,2d313d79-1bd1-4d02-a5d5-e069b15d9754,Biodiversity Survey,machine learning,2023-03-21
204,brian.anderson@university.edu,cb5065ff-0133-4515-86c5-b27cf0ca5a19,Public Health Dashboard,field research,2021-03-12
205,mark.harris@edu.com,cb3c6f40-1ad8-4d05-af16-0493fcc99ee4,Digital Divide Analysis,machine learning,2021-11-05
206,emitchell@edu.com,1a7b0294-52f2-4afa-a333-4be758683382,Public Health Dashboard,field research,2024-08-30
207,dorothy_273@edu.com,9f7d62f4-832c-463f-8fe6-7ea6c5af7056,Economic Forecasting Model,machine learning,2022-02-16
208,donaldmar@edu.com,44974779-0eb3-4ec2-846a-fa28c67e9a54,Urban Mobility Study,analytics,2020-08-18
209,dthomas@university.edu,b4fe45b4-4d6b-436d-8b68-99593eca9bed,Climate Impact Analysis,analytics,2020-12-17
210,emily.rivera@gmail.com,3ed41a0d-a379-40d8-b095-23130ac88912,Budget Optimization,machine learning,2023-09-19
211,srobinson@gmail.com,d03613bf-39ce-48ce-959c-5f2cb0aa2218,Food Security Assessment,machine learning,2024-12-23
212,laura.taylor@edu.com,702feeef-4ebb-475a-86bd-717a19a3d6d6,Customer Behavior Model,machine learning,2020-04-25
213,kmartin1@protonmail.com,12b5fa47-9e28-45c4-b7e9-14d0db93b240,Labor Market Trends,analytics,2023-07-27
214,jlee@gmail.com,a7eb705c-2231-4290-9061-e3e93fc1c355,Agricultural Yield Prediction,analytics,2022-11-16
215,stephanie_259@university.edu,ff57407f-0a2a-49b4-907d-7c74f01189f1,Supply Chain Optimization,field research,2024-05-27
216,joshuagar@edu.com,2cbbf98a-d3f3-4ec5-810c-c09eb811b6ed,Economic Forecasting Model,field research,2023-12-04
217,bgarcia@yahoo.com,1dbef05d-43eb-41c1-a208-be580b902d71,Fraud Detection System,analytics,2024-12-21
218,gwilliams@university.edu,49f291b3-8a3e-4474-88e0-8bfaa0ae8e6d,Fraud Detection System,machine learning,2023-05-09
219,betty_996@yahoo.com,54450956-a7ec-4a1b-96b9-5aedc63d7b45,Renewable Energy Mapping,field research,2022-08-15
220,carolsan@university.edu,91b1c582-48b0-451c-8b97-0ac6038315f3,Customer Behavior Model,field research,2020-12-09
221,daniellee@gmail.com,42c0f45d-720d-492f-a09d-47348df6785b,Customer Behavior Model,machine learning,2021-08-10
222,charlestho@gmail.com,779f95bb-6145-4d67-8ded-bf346310fac7,Poverty Alleviation Program,machine learning,2024-05-05
